ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
331.6,1711,1045,1363634,120016,12001519,32583680,1477664
332.6,1718,1048,1366092,120648,12001519,32583680,1478448
333.6,1731,1053,1369890,122003,12001519,32600064,1537696
334.6,1746,1056,1372430,122960,12001519,33423360,1535184
335.6,1754,1061,1374788,123855,12001519,33423360,1533744
336.6,1767,1064,1377445,124867,12001519,33423360,1545376
337.7,1777,1067,1379778,125749,12001519,33423360,1535392
338.7,1791,1072,1382160,126697,12001519,33423360,1530848
339.7,1805,1077,1384672,127613,12001519,33423360,1537472
340.7,1819,1082,1387154,128527,12001519,33423360,1536368
341.7,1834,1084,1389556,129470,12001519,33423360,1536272
342.8,1843,1090,1391973,130390,12001519,33423360,1538992
343.8,1858,1092,1394616,131268,12001519,33423360,1540992
344.8,1873,1094,1397126,132114,12001519,33423360,1545264
345.8,1891,1097,1399836,133082,12001519,33423360,1546064
346.8,1911,1101,1402179,134015,12001519,33423360,1532800
347.9,1924,1104,1404601,134953,12001519,33423360,1535440
348.9,1944,1107,1406872,135767,12001519,33423360,1530464
349.9,1955,1111,1408833,136555,12001519,33423360,1519008
350.9,1968,1117,1411736,137564,12001519,33423360,1550848
351.9,1983,1123,1414895,138696,12001519,33456128,1563232
353.0,1996,1126,1417175,139538,12001519,33456128,1546160
354.0,2008,1132,1419625,140476,12001519,33456128,1530224
355.0,2024,1136,1422197,141410,12001519,33456128,1521216
356.0,2036,1140,1424703,142360,12001519,33456128,1521008
357.0,2048,1146,1426818,143199,12001519,33456128,1525168
358.1,2064,1147,1429341,144135,12001519,33456128,1531376
359.1,2074,1151,1431916,145112,12001519,33456128,1533168
360.1,2085,1153,1434302,146017,12001519,33456128,1523328
361.1,2098,1156,1436765,146960,12001519,33456128,1530432
362.1,2114,1159,1439389,147829,12001519,33456128,1538816
363.2,2131,1161,1441832,148706,12001519,33456128,1536592
364.2,2145,1164,1444384,149618,12001519,33456128,1534960
365.2,2157,1167,1446770,150552,12001519,33800192,1527088
366.2,2172,1170,1449095,151491,12001519,34340864,1519504
367.2,2182,1172,1451175,152262,12001519,34947072,1511296
368.3,2195,1173,1453360,153200,12001519,36569088,1502208
369.3,2206,1178,1456575,154337,12001519,36569088,1548768
370.3,2218,1183,1459363,155366,12001519,36769792,1544336
371.3,2231,1183,1461883,156303,12001519,36802560,1542624
372.3,2245,1184,1464286,157224,12001519,36851712,1505744
373.4,2262,1185,1466755,158161,12001519,36851712,1509408
374.4,2270,1191,1469222,159125,12001519,36900864,1517424
375.4,2285,1194,1471576,160067,12001519,36900864,1526144
376.4,2303,1198,1474291,160957,12001519,36950016,1540864
377.4,2320,1202,1476653,161853,12001519,36999168,1520016
378.4,2333,1204,1479086,162783,12001519,36999168,1510720
379.5,2346,1207,1481774,163717,12001519,37048320,1517360
380.5,2360,1210,1484362,164594,12001519,37048320,1529664
381.5,2379,1214,1487361,165651,12001519,37097472,1542240
382.5,2393,1219,1489764,166606,12001519,37277696,1531680
383.5,2413,1220,1492125,167550,12001519,37277696,1530880
384.6,2422,1223,1494166,168300,12001519,37277696,1499312
385.6,2442,1226,1496423,169112,12001519,37277696,1490656
386.6,2455,1227,1498825,170010,12001519,37277696,1518880
387.6,2467,1232,1502289,171267,12001519,37310464,1546544
388.6,2482,1234,1504842,172190,12001519,37310464,1537536
389.7,2493,1238,1507359,173116,12001519,37310464,1526896
390.7,2503,1242,1509847,174050,12001519,37310464,1512672
391.7,2515,1245,1512299,174997,12001519,37310464,1511840
392.7,2533,1247,1514638,175915,12001519,37310464,1516496
393.7,2549,1252,1517133,176814,12001519,37310464,1515888
394.8,2563,1257,1519296,177611,12001519,37310464,1511968
