ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
184.1,177,662,952128,4093,12000612,23449600,1964368
185.1,190,664,955081,4988,12000612,23498752,1897632
186.1,200,670,958261,5903,12000612,23519232,1893088
187.2,209,674,961149,6758,12000612,23535616,1892112
188.2,219,678,964204,7672,12000612,23535616,1896800
189.2,235,681,967258,8543,12000612,23535616,1895472
190.2,251,684,970110,9428,12000612,23535616,1896256
191.2,262,684,973046,10323,12000612,23535616,1894784
192.3,274,689,976171,11250,12000612,23535616,1895296
193.3,284,693,979257,12123,12000612,23535616,1890208
194.3,293,698,982247,13005,12000612,23535616,1885568
195.3,309,699,985046,13833,12000612,23535616,1884720
196.3,320,702,988002,14676,12000612,23535616,1873360
197.3,331,705,991019,15514,12000612,23535616,1833200
198.4,343,707,994165,16428,12000612,23535616,1799312
199.4,352,710,997025,17262,12000612,23535616,1771872
200.4,362,716,1000199,18164,12000612,23535616,1738960
201.4,376,719,1003053,18989,12000612,23584768,1727424
202.4,390,723,1005903,19801,12000612,23584768,1719888
203.5,398,727,1008821,20639,12000612,23584768,1720720
204.5,409,731,1012030,21428,12000612,23584768,1701696
205.5,417,735,1014982,22343,12000612,23584768,1711776
206.5,426,744,1019104,23751,12000616,24387584,1792400
207.5,439,746,1021670,24532,12000616,24387584,1753904
208.6,452,747,1024425,25328,12000616,24387584,1739696
209.6,468,751,1027580,26187,12000616,24387584,1740000
210.6,478,757,1030386,27024,12000616,24387584,1733680
211.6,488,760,1033548,27940,12000616,24387584,1733280
212.6,497,763,1036543,28819,12000616,24387584,1730736
213.7,508,765,1039626,29743,12000616,24387584,1733696
214.7,517,770,1042504,30609,12000616,24387584,1742240
215.7,529,776,1045521,31527,12000616,24469504,1742864
216.7,540,779,1048631,32377,12000616,24506368,1748592
217.7,553,782,1051842,33226,12000616,24506368,1743920
218.8,562,786,1054807,34057,12000616,24522752,1752768
219.8,571,790,1057665,34872,12000616,24522752,1738560
220.8,584,794,1060630,35757,12000616,24522752,1739696
221.8,600,798,1063375,36593,12000616,24522752,1740736
222.8,618,802,1066561,37461,12000616,24522752,1743904
223.9,633,804,1069693,38363,12000616,24522752,1738432
224.9,648,807,1072710,39301,12000616,24522752,1738976
225.9,662,810,1075549,40140,12000616,24522752,1738096
226.9,679,814,1078451,41001,12000616,24522752,1739888
227.9,688,818,1081339,41882,12000616,25145344,1730880
229.0,697,822,1083454,42587,12000616,25161728,1660624
230.0,705,826,1086061,43365,12000616,25161728,1645136
231.0,714,830,1089310,44317,12000616,25178112,1652992
232.0,725,832,1092015,45125,12000616,25178112,1643552
233.0,738,837,1095706,46327,12000616,25309184,1685840
234.1,756,843,1098353,47831,12001519,38694912,1671952
235.1,758,847,1100693,48602,12001519,38694912,1611008
