ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
234.9,752,833,1101211,48131,12001519,29630464,1853424
235.9,760,836,1103976,48875,12001519,29630464,1834592
237.0,772,837,1106133,49682,12001519,29630464,1847088
238.0,781,842,1108835,50407,12001519,29630464,1844896
239.0,788,843,1111333,51134,12001519,29630464,1822528
240.0,798,846,1113928,51930,12001519,29630464,1816736
241.0,807,849,1116075,52556,12001519,29630464,1813680
242.1,815,854,1118935,53333,12001519,29630464,1810928
243.1,819,855,1121353,54117,12001519,29630464,1814896
244.1,829,858,1123757,54843,12001519,29630464,1805200
245.1,838,860,1126415,55617,12001519,29630464,1798896
246.1,841,863,1128680,56329,12001519,29630464,1796256
247.1,852,865,1131124,57089,12001519,29630464,1802016
248.2,861,869,1133875,57873,12001519,29630464,1812880
249.2,869,873,1136535,58650,12001519,29630464,1799616
250.2,882,874,1139251,59417,12001519,29630464,1804688
251.2,892,878,1142036,60208,12001519,29630464,1802512
252.2,895,881,1144516,61014,12001519,29630464,1800848
253.2,907,882,1147017,61773,12001519,29630464,1801808
254.3,918,885,1149505,62508,12001519,29630464,1804704
255.3,935,885,1152339,63296,12001519,29630464,1803264
256.3,942,889,1154886,63994,12001519,29630464,1808432
257.3,948,891,1157211,64750,12001519,29630464,1799840
258.3,961,891,1159785,65523,12001519,29630464,1807984
259.4,968,894,1162706,66327,12001519,29630464,1806144
260.4,972,895,1164874,67091,12001519,29630464,1801664
261.4,985,896,1167669,67910,12001519,29630464,1812480
262.4,997,901,1170423,68628,12001519,29630464,1808464
263.4,1004,905,1172974,69343,12001519,29630464,1805200
264.4,1014,908,1175445,70105,12001519,29696000,1806656
265.5,1021,912,1178164,70902,12001519,29696000,1811824
266.5,1032,914,1181043,71636,12001519,29696000,1807712
267.5,1045,915,1183983,72443,12001519,29712384,1816240
268.5,1056,918,1187011,73235,12001519,29712384,1810192
269.5,1059,920,1189669,73985,12001519,29712384,1804272
270.6,1067,925,1192036,74699,12001519,29712384,1811856
271.6,1074,929,1194821,75445,12001519,29712384,1812592
272.6,1083,933,1197448,76151,12001519,29712384,1808448
273.6,1088,934,1199896,76866,12001519,29712384,1798256
274.6,1101,937,1202106,77616,12001519,29712384,1808208
275.7,1111,939,1204799,78377,12001519,29712384,1802848
276.7,1116,941,1207091,79134,12001519,29712384,1801408
277.7,1126,947,1209575,79898,12001519,29712384,1807280
278.7,1142,949,1212270,80642,12001519,29728768,1809408
279.8,1151,953,1215144,81460,12001519,29728768,1809184
280.8,1160,954,1217947,82352,12001519,29728768,1807040
281.8,1166,955,1220316,83077,12001519,29728768,1805648
282.8,1179,955,1222760,83804,12001519,29728768,1802000
283.9,1190,957,1225435,84620,12001519,29728768,1809840
284.9,1205,959,1228236,85450,12001519,29745152,1792656
285.9,1209,965,1230770,86180,12001519,29745152,1794448
287.0,1216,966,1233253,86934,12001519,29761536,1792784
288.0,1229,966,1235817,87689,12001519,29761536,1794208
289.0,1238,969,1238676,88470,12001519,29761536,1793312
290.0,1242,972,1241124,89155,12001519,29761536,1794240
291.0,1255,974,1243320,89855,12001519,29761536,1795328
292.0,1268,976,1246008,90574,12001519,29761536,1793840
293.1,1272,979,1247914,91186,12001519,29761536,1785504
294.1,1284,982,1250328,91861,12001519,29761536,1781296
295.1,1290,984,1252868,92506,12001519,29761536,1776848
296.1,1300,987,1255145,93304,12001519,29761536,1781136
