ts_s,utime_cs,stime_cs,minflt,majflt,rchar,read_bytes,VmRSS_kB
223.6,650,795,1071699,38194,12000616,23003136,1907232
224.6,666,796,1074675,39048,12000616,23003136,1906064
225.6,680,798,1077567,39870,12000616,23003136,1901424
226.7,691,800,1080549,40740,12000616,23003136,1905600
227.7,702,806,1083402,41574,12000616,23003136,1902592
228.7,708,809,1085707,42245,12000616,23003136,1889568
229.7,720,809,1088650,43011,12000616,23019520,1894096
230.7,730,811,1091290,43706,12000616,23019520,1874864
231.8,747,814,1094687,44639,12000616,23019520,1899376
232.8,755,823,1098002,45905,12001519,25935872,1943056
233.8,763,831,1100250,46944,12001519,31539200,1906400
234.8,773,832,1103231,47681,12001519,31539200,1893792
235.8,781,833,1105470,48424,12001519,31539200,1885712
236.9,789,837,1108307,49171,12001519,31539200,1891968
237.9,790,841,1110545,49921,12001519,31539200,1889312
238.9,801,843,1113196,50677,12001519,31539200,1882304
239.9,814,845,1116113,51476,12001519,31539200,1898864
240.9,828,850,1118818,52231,12001519,31539200,1906352
242.0,831,855,1121204,52958,12001519,31539200,1889888
243.0,845,858,1123630,53716,12001519,31539200,1898432
244.0,859,859,1126712,54527,12001519,31539200,1908192
245.0,863,861,1129204,55304,12001519,31539200,1894704
246.0,871,865,1132082,56106,12001519,31539200,1900880
247.0,882,868,1134835,56895,12001519,31539200,1893504
248.1,892,870,1137625,57692,12001519,31539200,1897952
249.1,900,873,1140446,58479,12001519,31539200,1896176
250.1,911,878,1143076,59224,12001519,31539200,1899792
251.1,924,882,1145762,59972,12001519,31539200,1902672
252.1,930,883,1148081,60705,12001519,31539200,1895200
253.1,944,886,1150660,61458,12001519,31539200,1894800
254.2,954,888,1153492,62243,12001519,31539200,1895600
255.2,962,892,1156479,63043,12001519,31539200,1899456
256.2,967,895,1158940,63736,12001519,31539200,1893552
257.2,975,899,1161796,64556,12001519,31539200,1901312
258.2,989,901,1164513,65364,12001519,31539200,1906640
259.2,998,905,1167207,66131,12001519,31539200,1900688
260.3,1003,907,1169587,66903,12001519,31539200,1890176
261.3,1013,915,1172028,67611,12001519,31539200,1898944
262.3,1025,917,1175074,68369,12001519,31539200,1893024
263.3,1029,919,1177477,69043,12001519,31539200,1887536
264.3,1037,922,1180207,69837,12001519,31539200,1888928
265.4,1045,926,1183080,70639,12001519,31539200,1897216
266.4,1055,930,1185970,71369,12001519,31539200,1896704
267.4,1069,933,1188844,72129,12001519,31539200,1899616
268.4,1084,936,1191803,72960,12001519,31539200,1903872
269.4,1089,939,1194085,73645,12001519,31539200,1892304
270.5,1099,944,1196498,74423,12001519,31539200,1894304
271.5,1113,947,1199032,75200,12001519,31539200,1895648
272.5,1124,951,1201704,75953,12001519,31539200,1897424
273.5,1142,952,1204333,76679,12001519,31539200,1906528
274.5,1149,953,1206287,77388,12001519,31539200,1890432
275.5,1162,955,1208921,78147,12001519,31539200,1890512
276.6,1175,957,1211895,79006,12001519,31539200,1911920
277.6,1182,958,1214072,79673,12001519,31539200,1896320
278.6,1195,963,1216585,80400,12001519,31539200,1907216
279.6,1207,966,1219272,81187,12001519,31539200,1903056
280.6,1221,968,1221987,81985,12001519,31539200,1909680
281.7,1227,970,1224425,82678,12001519,31539200,1902320
282.7,1243,972,1226656,83343,12001519,31539200,1886928
283.7,1255,974,1229354,84143,12001519,31539200,1895440
284.7,1267,976,1231835,84886,12001519,31539200,1893568
285.7,1272,979,1234483,85622,12001519,31539200,1893520
286.8,1280,980,1236896,86351,12001519,31539200,1892800
287.8,1289,982,1239448,87100,12001519,31539200,1895328
